,linear,huber,bayesian,elasticnet,knn,cart
0,0.9982534821643249,0.9982153438295842,0.9982535206530172,0.9982535110347863,0.9986319025698567,0.9975580524458911
1,0.9981577814019171,0.9981216541072355,0.9981577440907455,0.9981571353524014,0.9986140821701722,0.9976115544031715
2,0.9982928330375274,0.9982524036470828,0.998292788179053,0.9982907095586273,0.9986815416622031,0.9977682149100919
3,0.9981750657331758,0.9981282941148819,0.9981750068499607,0.9981721082456231,0.9985926192489533,0.9976921695212814
4,0.9982042858696085,0.9981504103370644,0.9982042669849815,0.998201642166562,0.9985674050731178,0.9976039214742213
5,0.9982330608391775,0.9981831397185015,0.9982331953961701,0.9982319209207249,0.9986847359096895,0.9977576243382655
6,0.998114489948286,0.9980729145577789,0.99811442699792,0.9981116095410885,0.998589184434623,0.9975717079176084
7,0.9981433811387833,0.9980917273406191,0.9981433453326753,0.9981422140536828,0.9985318089193215,0.9976360445972744
8,0.9981981966467943,0.9981567705648562,0.9981981946885687,0.998196992356223,0.9985925629344893,0.9977184056041558
9,0.9982973141583326,0.9982522110182002,0.9982972965287961,0.9982955261609505,0.998675354886556,0.9978504869113666
10,0.9982773499431135,0.9982323198808238,0.9982775032065734,0.9982777073891639,0.9986226393279823,0.9976942360464168
11,0.9981972949629951,0.9981515763815988,0.9981972986177597,0.9981955023513575,0.998526792166341,0.9975751701818897
12,0.9981676089768083,0.9981134832805091,0.9981675741344114,0.998164440657689,0.9986447089132323,0.9976863912479059
13,0.9982035483411351,0.9981631950334486,0.9982034615817744,0.9982009787580194,0.998610043544429,0.9976577993645547
14,0.9982460776821488,0.9982016308590114,0.9982461264977783,0.998246235920368,0.9986558315893646,0.9977293543051409
15,0.9981540532628731,0.998104978143551,0.9981540338722433,0.9981522630350022,0.9986056543685512,0.9974930772795739
16,0.9981962717676771,0.9981614851795579,0.998196325235221,0.9981950395487492,0.9986360252660584,0.997727600130031
17,0.998202001607838,0.9981607042291099,0.9982019326681634,0.9981993822796391,0.9986574246302113,0.9977950826368155
18,0.9982248541238451,0.9981828042617559,0.9982247930395406,0.9982221414150019,0.99860303775665,0.9977058251036844
19,0.9982023244937513,0.9981546968720914,0.9982022304404651,0.9982010219792565,0.9986420749018853,0.9977664001922385
20,0.9983294139937282,0.9982926546297737,0.9983293566158876,0.9983268431796287,0.9987330000652449,0.9978449678501592
21,0.9982276902185235,0.9981796903554434,0.9982276880921152,0.998225694762691,0.998655339469477,0.9976800667806729
22,0.9982000182643284,0.9981630492436934,0.9982000116798292,0.9981997301583432,0.9985912625480786,0.9976698943409873
23,0.9981898928533635,0.9981476849410229,0.9981898979154674,0.9981878810971545,0.9986074972732006,0.9975180294611095
24,0.9981910910230475,0.9981460942089292,0.9981911746456917,0.9981893354239505,0.998585330689955,0.9977190255448801
25,0.9981483170281361,0.9981035294200782,0.9981483733443607,0.9981477639354214,0.9985912315837241,0.9976871162005869
26,0.998207096798892,0.9981559548468766,0.9982070301237004,0.9982061174872707,0.998597357795428,0.9975711535760159
27,0.9981469171785102,0.9981066508891715,0.998146900931107,0.9981437837562772,0.9985746179438586,0.9976069432954338
28,0.9982619535998465,0.9982112578507558,0.9982619070639871,0.9982598935312808,0.9986731528679278,0.9977794597697074
29,0.9981657420016627,0.9981183286503478,0.9981657014936176,0.9981644860879395,0.9986225094676188,0.9976388421106495
